epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,179.429,0.45984,0.38933,0.87447,0.88607,0.94481,0.94172,0.85971,0.46489,0.53569,0.8423,0.000215774,0.000215774,0.000215774
43,182.797,0.46813,0.33692,0.87746,0.90123,0.95259,0.94324,0.86971,0.46353,0.49317,0.84163,0.000204769,0.000204769,0.000204769
44,186.248,0.43204,0.32783,0.86775,0.91633,0.96277,0.9425,0.85825,0.46144,0.48068,0.84555,0.000193763,0.000193763,0.000193763
45,190.403,0.46661,0.3642,0.8755,0.91213,0.96277,0.94409,0.86421,0.45676,0.48122,0.84162,0.000182758,0.000182758,0.000182758
46,193.864,0.43319,0.34278,0.87418,0.91241,0.9467,0.95384,0.87468,0.46652,0.4824,0.84027,0.000171752,0.000171752,0.000171752
47,197.302,0.46854,0.42954,0.90329,0.90749,0.95886,0.94518,0.86934,0.46224,0.47968,0.84051,0.000160747,0.000160747,0.000160747
48,201.649,0.43441,0.33859,0.86877,0.90936,0.95768,0.95587,0.88282,0.44981,0.46033,0.83563,0.000149741,0.000149741,0.000149741
49,205.414,0.46247,0.36003,0.89777,0.91625,0.9573,0.95917,0.8793,0.45107,0.44639,0.83459,0.000138736,0.000138736,0.000138736
50,208.956,0.43981,0.33277,0.86282,0.92127,0.95256,0.9557,0.86808,0.46183,0.44837,0.84177,0.000127731,0.000127731,0.000127731
51,215.51,0.36129,0.28374,0.81257,0.91626,0.95507,0.95934,0.87281,0.46711,0.46776,0.84367,0.000116725,0.000116725,0.000116725
52,219.717,0.40452,0.46791,0.82608,0.91514,0.9598,0.96161,0.88117,0.46867,0.47211,0.83957,0.00010572,0.00010572,0.00010572
53,222.907,0.36892,0.28203,0.82055,0.91286,0.95931,0.95532,0.87655,0.4591,0.47726,0.83728,9.4714e-05,9.4714e-05,9.4714e-05
54,226.841,0.382,0.31418,0.83989,0.92366,0.96392,0.96404,0.88132,0.45163,0.4688,0.84063,8.37085e-05,8.37085e-05,8.37085e-05
55,230.702,0.35225,0.3114,0.83913,0.92723,0.96388,0.96702,0.88718,0.44857,0.46122,0.84029,7.2703e-05,7.2703e-05,7.2703e-05
56,234.168,0.33719,0.25216,0.81755,0.93259,0.9644,0.96096,0.89101,0.44157,0.44176,0.83609,6.16975e-05,6.16975e-05,6.16975e-05
57,237.57,0.35703,0.26544,0.81234,0.93253,0.96525,0.9611,0.89231,0.44085,0.43814,0.83636,5.0692e-05,5.0692e-05,5.0692e-05
58,242.058,0.35768,0.31478,0.80148,0.93159,0.96415,0.95495,0.88857,0.43861,0.43434,0.83599,3.96865e-05,3.96865e-05,3.96865e-05
59,245.555,0.34477,0.2513,0.80092,0.93186,0.96759,0.95521,0.8886,0.43627,0.43484,0.83552,2.8681e-05,2.8681e-05,2.8681e-05
60,248.853,0.32512,0.24777,0.80812,0.9344,0.96903,0.95512,0.88644,0.43656,0.4254,0.83613,1.76755e-05,1.76755e-05,1.76755e-05
